panel,iso3,crop_standard_name,n_studies_fractional,area_ha_mean,research_share_pct,area_share_pct
country-crop system,AUS,cotton,1.0,336450.2,0.04942787237723352,0.027730020095647075
country-crop system,AUS,groundnut,0.0,5387.2,0.0,0.00044400973534647895
country-crop system,AUS,lentil,0.0,552363.4,0.0,0.04552545423393995
country-crop system,AUS,maize,1.25,49560.8,0.061784840471541896,0.004084770881266664
country-crop system,AUS,millet,0.0,36005.4,0.0,0.002967543088254402
country-crop system,AUS,oat_rye,0.25,955418.8,0.01235696809430838,0.07874503425398176
country-crop system,AUS,potato,0.0,32253.6,0.0,0.0026583220225666754
country-crop system,AUS,pulses,0.0,512773.8,0.0,0.04226250356968524
country-crop system,AUS,rapeseed_canola,0.5,2874842.2,0.02471393618861676,0.23694273915668423
country-crop system,AUS,rice,5.25,36282.2,0.259496329980476,0.0029903567752799258
country-crop system,AUS,sorghum,0.0,482138.6,0.0,0.03973756908715509
country-crop system,AUS,soybean,0.0,20830.8,0.0,0.0017168618196939846
country-crop system,AUS,sugarbeet,0.0,300.0,0.0,2.472581686292391e-05
country-crop system,AUS,sugarcane,11.0,380621.2,0.5437065961495687,0.03137056695115445
country-crop system,AUS,sunflower,0.0,14331.8,0.0,0.0011812182070535097
country-crop system,AUS,sweet_potato,0.0,2421.8,0.0,0.00019960327759543044
country-crop system,AUS,wheat,23.892857142857142,11712441.8,1.1809730935846152,0.9653323032148496
country-crop system,AUT,barley,0.4444444444444444,131496.0,0.02196794327877045,0.01083782004735681
country-crop system,AUT,maize,0.5353535353535354,215344.0,0.02646138622215532,0.017748521021764954
country-crop system,AUT,oat_rye,0.0,115088.0,0.0,0.009485482703733956
country-crop system,AUT,potato,0.0,23198.0,0.0,0.001911964998620363
country-crop system,AUT,pulses,0.0,12010.0,0.0,0.0009898568684123873
country-crop system,AUT,rapeseed_canola,0.0,32984.0,0.0,0.0027185211446889407
country-crop system,AUT,sorghum,0.0,4010.0,0.0,0.00033050175206774963
country-crop system,AUT,soybean,0.16666666666666666,75160.0,0.008237978729538919,0.006194641318057871
country-crop system,AUT,sugarbeet,0.16666666666666666,31458.0,0.008237978729538919,0.0025927491562462014
country-crop system,AUT,sunflower,0.16666666666666666,23040.0,0.008237978729538919,0.0018989427350725562
country-crop system,AUT,wheat,0.9444444444444444,285404.0,0.046681879467387215,0.023522823453153117
country-crop system,AZE,barley,0.0,356143.6,0.0,0.02935313810167476
country-crop system,AZE,beans,0.0,3357.4,0.0,0.0002767148584519358
country-crop system,AZE,cotton,0.0,107533.0,0.0,0.00886280421573599
country-crop system,AZE,lentil,0.0,613.0,0.0,5.0523085789907856e-05
country-crop system,AZE,maize,0.0,32140.6,0.0,0.0026490086315483076
country-crop system,AZE,millet,0.0,135.2,0.0,1.1143101466224374e-05
country-crop system,AZE,oat_rye,0.0,5892.0,0.0,0.0004856150431878256
country-crop system,AZE,potato,0.0,56819.8,0.0,0.00468305322995988
country-crop system,AZE,pulses,0.0,7875.8,0.0,0.0006491186281633872
country-crop system,AZE,rice,0.0,3445.2,0.0,0.0002839512808538182
country-crop system,AZE,sorghum,0.0,110.4,0.0,9.099100605556e-06
country-crop system,AZE,soybean,0.0,53.4,0.0,4.401195401600456e-06
country-crop system,AZE,sugarbeet,0.0,6083.2,0.0,0.0005013736304684624
country-crop system,AZE,sunflower,0.0,12197.6,0.0,0.001005318745890669
country-crop system,AZE,wheat,2.0,610398.6,0.09885574475446704,0.05030867998995049
country-crop system,BDI,banana_plantain,0.0,171519.0,0.0,0.014136491275039487
country-crop system,BDI,beans,0.0,800258.2,0.0,0.06595679232084378
country-crop system,BDI,cassava,0.0,333121.8,0.0,0.027455695399491886
country-crop system,BDI,coffee_cocoa,0.0,12548.2,0.0,0.0010342149838644726
country-crop system,BDI,cotton,0.0,2369.8,0.0,0.0001953174693391903
country-crop system,BDI,groundnut,0.0,21515.2,0.0,0.0017732696498972684
country-crop system,BDI,maize,0.0,388251.6,0.0,0.031999459861123965
country-crop system,BDI,millet,0.0,8816.2,0.0,0.0007266258220896993
country-crop system,BDI,oilpalm,0.0,8839.4,0.0,0.0007285379519270987
country-crop system,BDI,potato,0.0,41080.6,0.0,0.00338583797406344
country-crop system,BDI,pulses,0.0,2844.6,0.0,0.00023445019549424452
country-crop system,BDI,rice,0.0,87112.4,0.0,0.0071797508296325765
country-crop system,BDI,sorghum,0.0,34955.6,0.0,0.002881019213112077
country-crop system,BDI,soybean,0.0,4979.4,0.0,0.00041039910829081104
country-crop system,BDI,sugarcane,0.0,3091.8,0.0,0.00025482426858929383
country-crop system,BDI,sweet_potato,0.0,89526.2,0.0,0.007378694752111662
country-crop system,BDI,wheat,0.0,11094.2,0.0,0.0009143771914688348
country-crop system,BDI,yam,0.0,254.4,0.0,2.0967492699759475e-05
country-crop system,BEL,barley,0.0,43518.0,0.0,0.0035867269941357426
country-crop system,BEL,maize,0.7916666666666666,53120.0,0.039130398965309864,0.004378117972528394
country-crop system,BEL,oat_rye,0.0,9632.0,0.0,0.0007938635600789436
country-crop system,BEL,potato,1.0416666666666667,94144.0,0.051487367059618254,0.007759291009143695
country-crop system,BEL,pulses,0.0,1864.0,0.0,0.00015362974210830055
country-crop system,BEL,rapeseed_canola,0.0,9076.0,0.0,0.0007480383794929914
country-crop system,BEL,sugarbeet,0.5,57102.0,0.02471393618861676,0.004706311981688937
country-crop system,BEL,wheat,2.7916666666666665,201550.0,0.13798614371977688,0.016611627962407713
country-crop system,BEN,banana_plantain,0.0,4335.2,0.0,0.0003573045375471591
country-crop system,BEN,beans,0.0,147977.0,0.0,0.012196174006416306
country-crop system,BEN,cassava,0.0,339479.8,0.0,0.02797971787820679
country-crop system,BEN,coffee_cocoa,0.0,283.2,0.0,2.334117111860017e-05
country-crop system,BEN,cotton,0.0,628589.0,0.0,0.051807921653494925
country-crop system,BEN,groundnut,0.0,180306.0,0.0,0.014860710450954528
country-crop system,BEN,maize,1.75,1327166.0,0.08649877666015866,0.10938421154233091
country-crop system,BEN,millet,0.5,26134.8,0.02471393618861676,0.0021540142618304793
country-crop system,BEN,oilpalm,0.0,37525.0,0.0,0.0030927875926040657
country-crop system,BEN,potato,0.0,11.6,0.0,9.560649186997244e-07
country-crop system,BEN,rice,0.0,120754.8,0.0,0.00995253690039668
country-crop system,BEN,sorghum,0.0,167612.4,0.0,0.013814511687850492
country-crop system,BEN,soybean,0.0,221974.8,0.0,0.018295027509947208
country-crop system,BEN,sugarcane,0.0,2218.0,0.0,0.00018280620600655078
country-crop system,BEN,sweet_potato,0.0,9911.0,0.0,0.0008168585697614629
country-crop system,BEN,yam,0.0,236529.6,0.0,0.019494625240868823
country-crop system,BFA,banana_plantain,0.0,1804.8,0.0,0.00014875051424735025
country-crop system,BFA,beans,0.375,1397814.2,0.018535452141462568,0.11520699305864832
country-crop system,BFA,cassava,0.0,1102.6,0.0,9.087561891019966e-05
country-crop system,BFA,cotton,0.3333333333333333,586874.0,0.016475957459077838,0.04836979681870536
country-crop system,BFA,groundnut,0.0,564120.8,0.0,0.04649449196455376
country-crop system,BFA,maize,2.408333333333333,1086534.0,0.11903879264183738,0.08955146899780056
country-crop system,BFA,millet,1.0416666666666665,1131143.4,0.05148736705961825,0.0932281485136836
country-crop system,BFA,potato,0.0,17233.0,0.0,0.0014203333399958925
country-crop system,BFA,rice,1.0,191892.8,0.04942787237723352,0.015815687433712283
country-crop system,BFA,sorghum,2.5416666666666665,1863656.0,0.12562917562546852,0.15360138983829774
country-crop system,BFA,soybean,0.0,77401.6,0.0,0.006379392621657639
country-crop system,BFA,sugarcane,0.0,4972.6,0.0,0.00040983865644191817
country-crop system,BFA,sweet_potato,0.0,8602.8,0.0,0.000709037524361206
country-crop system,BFA,yam,0.0,6087.4,0.0,0.0005017197919045433
country-crop system,BGD,banana_plantain,0.0,60811.8,0.0,0.005012071433015854
country-crop system,BGD,barley,0.0,201.4,0.0,1.6599265053976253e-05
country-crop system,BGD,beans,0.0,84342.2,0.0,0.006951432636720337
country-crop system,BGD,chickpea,0.0,4677.2,0.0,0.0003854919687708924
country-crop system,BGD,cotton,0.0,21960.4,0.0,0.0018099627621218474
country-crop system,BGD,groundnut,0.0,34665.4,0.0,0.002857101106266675
country-crop system,BGD,lentil,0.0,146017.8,0.0,0.012034697938423503
country-crop system,BGD,maize,3.0,455067.8,0.14828361713170055,0.03750641027671228
country-crop system,BGD,millet,0.0,11084.8,0.0,0.0009136024492071298
country-crop system,BGD,potato,5.75,467975.0,0.28421026616909273,0.03857021382142272
country-crop system,BGD,pulses,0.25,7498.8,0.01235696809430838,0.000618046518305646
country-crop system,BGD,rapeseed_canola,0.0,309381.0,0.0,0.025498993156227542
country-crop system,BGD,rice,17.666666666666668,11598036.2,0.8732257453311255,0.9559030635025398
country-crop system,BGD,sorghum,0.0,67.6,0.0,5.571550733112187e-06
country-crop system,BGD,soybean,0.0,59881.6,0.0,0.004935404916862882
country-crop system,BGD,sugarcane,1.25,81510.6,0.061784840471541896,0.006718053893290153
country-crop system,BGD,sweet_potato,0.0,25397.8,0.0,0.0020932711717372298
country-crop system,BGD,wheat,4.75,331498.2,0.23478239379185922,0.027321879278629745
country-crop system,BGR,barley,0.0,119016.0,0.0,0.009809226065859173
country-crop system,BGR,cotton,0.0,3063.0,0.0,0.0002524505901704531
country-crop system,BGR,maize,2.382575757575758,536108.0,0.11776565047454503,0.04418569408916137
country-crop system,BGR,oat_rye,0.0,33602.0,0.0,0.002769456327426564
country-crop system,BGR,potato,0.041666666666666664,10680.0,0.0020594946823847297,0.0008802390803200912
country-crop system,BGR,pulses,0.0,17924.0,0.0,0.0014772851381701605
country-crop system,BGR,rapeseed_canola,0.25,142614.0,0.01235696809430838,0.011754158820296769
country-crop system,BGR,rice,0.0,11560.0,0.0,0.0009527681431180014
country-crop system,BGR,sorghum,0.0,4706.0,0.0,0.00038786564718973305
country-crop system,BGR,soybean,0.0,4436.0,0.0,0.00036561241201310156
country-crop system,BGR,sunflower,0.25,835914.0,0.01235696809430838,0.06889552159051393
country-crop system,BGR,wheat,0.2916666666666667,1204728.0,0.01441646277669311,0.09929294632545532
country-crop system,BHR,potato,0.0,4.0,0.0,3.296775581723188e-07
country-crop system,BHS,banana_plantain,0.0,437.6,0.0,3.606672486405168e-05
country-crop system,BHS,cassava,0.0,33.6,0.0,2.769291488647478e-06
country-crop system,BHS,maize,0.0,80.2,0.0,6.610035041354992e-06
country-crop system,BHS,sugarcane,0.0,2511.0,0.0,0.00020695508714267314
country-crop system,BHS,sweet_potato,0.0,534.8,0.0,4.407788952763902e-05
country-crop system,BIH,barley,0.0,21450.0,0.0,0.0017678959056990596
country-crop system,BIH,beans,0.0,6591.4,0.0,0.0005432591642342556
country-crop system,BIH,chickpea,0.0,1654.2,0.0,0.00013633815418216243
country-crop system,BIH,maize,0.09090909090909091,179995.2,0.004493442943384866,0.014835094504684539
country-crop system,BIH,oat_rye,0.0,26290.2,0.0,0.002166822234965474
country-crop system,BIH,potato,0.0,32194.8,0.0,0.0026534757624615424
country-crop system,BIH,pulses,0.0,1046.8,0.0,8.627661697369583e-05
country-crop system,BIH,rapeseed_canola,0.0,2872.6,0.0,0.00023675793840145074
country-crop system,BIH,soybean,0.0,11030.0,0.0,0.0009090858666601691
country-crop system,BIH,sugarbeet,0.0,85.4,0.0,7.038615866979006e-06
country-crop system,BIH,sunflower,0.0,506.0,0.0,4.170421110879833e-05
country-crop system,BIH,wheat,1.0,65932.0,0.04942787237723352,0.005434075191354331
country-crop system,BLR,barley,0.8333333333333333,396486.8,0.0411898936476946,0.03267820001788913
country-crop system,BLR,beans,0.0,98124.8,0.0,0.008087386115036788
country-crop system,BLR,maize,0.0,206523.2,0.0,0.01702151607048336
country-crop system,BLR,millet,0.0,10168.2,0.0,0.0008380568367519431
country-crop system,BLR,oat_rye,0.5,909730.6,0.02471393618861676,0.07497944070065962
country-crop system,BLR,potato,0.0,183100.0,0.0,0.015090990225337893
country-crop system,BLR,pulses,0.0,30721.2,0.0,0.00253202255003086
country-crop system,BLR,rapeseed_canola,0.3333333333333333,364372.6,0.016475957459077838,0.030031367258224764
country-crop system,BLR,sugarbeet,0.0,92052.0,0.0,0.007586869646219573
country-crop system,BLR,sunflower,0.0,1449.6,0.0,0.00011947514708164834
country-crop system,BLR,wheat,2.3333333333333335,719568.6,0.11533170221354488,0.0593064047463685
country-crop system,BLZ,banana_plantain,0.0,3325.2,0.0,0.0002740609541086486
country-crop system,BLZ,beans,0.0,8366.2,0.0,0.0006895370967953135
country-crop system,BLZ,cassava,0.0,60.6,0.0,4.99461500631063e-06
country-crop system,BLZ,coffee_cocoa,0.0,414.2,0.0,3.4138111148743615e-05
country-crop system,BLZ,groundnut,0.0,130.0,0.0,1.071452064060036e-05
country-crop system,BLZ,maize,0.0,22128.8,0.0,0.001823842187320902
country-crop system,BLZ,potato,0.0,107.4,0.0,8.85184243692676e-06
country-crop system,BLZ,pulses,0.0,2177.6,0.0,0.00017947646266901036
country-crop system,BLZ,rice,0.0,2753.2,0.0,0.00022691706329000703
country-crop system,BLZ,sorghum,0.0,5086.2,0.0,0.00041920149909401195
country-crop system,BLZ,soybean,0.0,10089.4,0.0,0.0008315621888559483
country-crop system,BLZ,sugarcane,0.0,40756.2,0.0,0.0033591011240956645
country-crop system,BLZ,sweet_potato,0.0,32.6,0.0,2.6868720991043983e-06
country-crop system,BLZ,yam,0.0,13.2,0.0,1.087935941968652e-06
country-crop system,BOL,banana_plantain,0.0,61101.2,0.0,0.005035923604349622
country-crop system,BOL,barley,0.0,53779.6,0.0,0.004432481801871009
country-crop system,BOL,beans,0.0,82838.8,0.0,0.006827523326481271
country-crop system,BOL,cassava,0.0,29406.2,0.0,0.0024236410527817102
country-crop system,BOL,chickpea,0.0,291.0,0.0,2.3984042357036193e-05
country-crop system,BOL,coffee_cocoa,0.0,35779.4,0.0,0.002948916306217666
country-crop system,BOL,cotton,0.0,4037.0,0.0,0.00033272707558541277
country-crop system,BOL,groundnut,0.0,19148.0,0.0,0.00157816647097089
country-crop system,BOL,maize,0.0,434236.2,0.0,0.03578948252150667
country-crop system,BOL,oat_rye,0.0,14998.8,0.0,0.0012361919398787438
country-crop system,BOL,potato,0.0,185269.6,0.0,0.015269807332890559
country-crop system,BOL,pulses,0.0,17920.8,0.0,0.0014770213961236226
country-crop system,BOL,rice,0.0,183106.8,0.0,0.015091550677186786
country-crop system,BOL,sorghum,0.0,447429.4,0.0,0.03687685801162643
country-crop system,BOL,soybean,1.0,1412942.2,0.04942787237723352,0.11645383358365603
country-crop system,BOL,sugarcane,0.0,177470.2,0.0,0.014626985546088263
country-crop system,BOL,sunflower,0.0,130230.2,0.0,0.010733493584073179
country-crop system,BOL,sweet_potato,0.0,1074.8,0.0,8.858435988090206e-05
country-crop system,BOL,wheat,0.0,203602.8,0.0,0.016780818485261747
country-crop system,BRA,banana_plantain,0.0,456749.6,0.0,0.03764502320604584
country-crop system,BRA,barley,2.0,112702.2,0.09885574475446704,0.009288846524162076
country-crop system,BRA,beans,1.0,2676330.0,0.04942787237723352,0.2205814848158305
country-crop system,BRA,cassava,0.1,1205360.2,0.004942787237723352,0.09934505186352446
country-crop system,BRA,coffee_cocoa,7.166666666666667,2447748.2,0.3542330853701736,0.2017419123991722
country-crop system,BRA,cotton,3.333333333333333,1485846.0,0.1647595745907784,0.1224625202750268
country-crop system,BRA,groundnut,2.0,185320.2,0.09885574475446704,0.015273977754001439
country-crop system,BRA,maize,13.75,18390434.0,0.6796332451869609,1.5157283437122975
country-crop system,BRA,oat_rye,2.833333333333333,504525.0,0.14004563840216164,0.041582642509222285
country-crop system,BRA,oilpalm,0.0,187704.8,0.0,0.015470515030305866
country-crop system,BRA,potato,1.1,117768.6,0.05437065961495688,0.009706416119343137
country-crop system,BRA,pulses,0.5,35194.8,0.02471393618861676,0.0029007339310907817
country-crop system,BRA,rapeseed_canola,0.08333333333333333,48240.0,0.004118989364769459,0.003975911351558165
country-crop system,BRA,rice,5.75,1714420.6,0.28421026616909273,0.14130149927208044
country-crop system,BRA,sorghum,0.0,887163.2,0.0,0.07311944936908513
country-crop system,BRA,soybean,27.333333333333332,37608391.2,1.3510285116443828,3.099660644401331
country-crop system,BRA,sugarcane,19.416666666666668,9993331.8,0.9597245219912842,0.8236443064574459
country-crop system,BRA,sunflower,1.0,58785.4,0.04942787237723352,0.0048450567820457575
country-crop system,BRA,sweet_potato,0.0,57183.8,0.0,0.004713053887753561
country-crop system,BRA,wheat,5.916666666666667,2507232.2,0.2924482448986317,0.20664454736675275
country-crop system,BRA,yam,0.0,26032.2,0.0,0.0021455580324633594
country-crop system,BRB,banana_plantain,0.0,203.0,0.0,1.6731136077245178e-05
country-crop system,BRB,beans,0.0,20.6,0.0,1.6978394245874419e-06
country-crop system,BRB,cassava,0.0,31.6,0.0,2.6044527095613187e-06
country-crop system,BRB,groundnut,0.0,4.2,0.0,3.4616143608093473e-07
country-crop system,BRB,maize,0.0,24.0,0.0,1.978065349033913e-06
country-crop system,BRB,sugarcane,0.0,2472.8,0.0,0.00020380666646212752
country-crop system,BRB,sweet_potato,0.0,69.4,0.0,5.719905634289732e-06
country-crop system,BRB,yam,0.0,33.0,0.0,2.71983985492163e-06
country-crop system,BRN,banana_plantain,0.0,601.4,0.0,4.956702087120813e-05
country-crop system,BRN,cassava,0.0,51.8,0.0,4.269324378331529e-06
country-crop system,BRN,rice,0.0,1317.0,0.0,0.00010854633602823597
country-crop system,BRN,sugarcane,0.0,4.25,0.0,3.5028240555808875e-07
country-crop system,BRN,sweet_potato,0.0,35.4,0.0,2.9176463898250214e-06
country-crop system,BTN,banana_plantain,0.0,47.2,0.0,3.890195186433362e-06
country-crop system,BTN,barley,0.0,675.6,0.0,5.568253957530464e-05
country-crop system,BTN,beans,0.0,983.4,0.0,8.105122767666458e-05
country-crop system,BTN,cassava,0.0,129.0,0.0,1.0632101251057281e-05
country-crop system,BTN,groundnut,0.0,101.0,0.0,8.32435834385105e-06
country-crop system,BTN,lentil,0.0,84.0,0.0,6.923228721618695e-06
country-crop system,BTN,maize,0.0,11549.4,0.0,0.0009518944975888447
country-crop system,BTN,millet,0.0,947.6,0.0,7.810061353102232e-05
country-crop system,BTN,potato,0.0,3876.8,0.0,0.0003195234893806114
country-crop system,BTN,pulses,0.0,573.2,0.0,4.7242794086093294e-05
country-crop system,BTN,rice,0.0,11792.2,0.0,0.0009719059253699044
country-crop system,BTN,soybean,0.0,159.0,0.0,1.3104682937349672e-05
country-crop system,BTN,sugarcane,0.0,6.0,0.0,4.945163372584782e-07
country-crop system,BTN,sunflower,0.0,4.8,0.0,3.9561306980678257e-07
country-crop system,BTN,sweet_potato,0.0,22.8,0.0,1.8791620815822171e-06
country-crop system,BTN,wheat,0.0,956.2,0.0,7.880942028109282e-05
country-crop system,BTN,yam,0.0,17.2,0.0,1.4176135001409709e-06
country-crop system,BWA,cotton,0.0,508.2,0.0,4.1885533765793103e-05
country-crop system,BWA,groundnut,0.0,1825.8,0.0,0.0001504813214277549
country-crop system,BWA,maize,0.0,71555.4,0.0,0.005897552386510884
country-crop system,BWA,millet,0.5,7547.8,0.02471393618861676,0.000622085068393257
country-crop system,BWA,potato,0.0,795.2,0.0,6.553989856465698e-05
country-crop system,BWA,sorghum,0.0,70036.6,0.0,0.005772373817672856
country-crop system,BWA,sunflower,0.0,1553.2,0.0,0.00012801379583831138
country-crop system,BWA,sweet_potato,0.0,77.8,0.0,6.412228506451601e-06
country-crop system,BWA,wheat,0.0,887.4,0.0,7.313896628052893e-05
country-crop system,CAF,banana_plantain,0.0,60050.6,0.0,0.004949333793695662
country-crop system,CAF,cassava,0.0,240156.8,0.0,0.019793576850619485
country-crop system,CAF,coffee_cocoa,0.0,630326.8,0.0,0.0519511500686429
country-crop system,CAF,cotton,0.0,78906.8,0.0,0.0065034502867978815
country-crop system,CAF,groundnut,0.0,208029.2,0.0,0.017145639671135235
country-crop system,CAF,maize,0.0,214053.2,0.0,0.01764213407374275
country-crop system,CAF,millet,0.0,9934.4,0.0,0.000818787183476771
country-crop system,CAF,oilpalm,0.0,642.2,0.0,5.292973196456579e-05
country-crop system,CAF,potato,0.0,1298.4,0.0,0.0001070133353827347
country-crop system,CAF,rice,0.0,30897.4,0.0,0.0025465448464683507
country-crop system,CAF,sorghum,0.0,36437.0,0.0,0.003003115296781195
country-crop system,CAF,sugarcane,0.0,18218.8,0.0,0.0015015823742074604
country-crop system,CAF,yam,0.0,34585.0,0.0,0.0028504745873474116
country-crop system,CAN,barley,1.95,2715640.0,0.09638435113560537,0.22382139101876897
country-crop system,CAN,beans,0.5,149820.0,0.02471393618861676,0.0123480729413442
country-crop system,CAN,chickpea,0.0,126900.0,0.0,0.010459020533016814
country-crop system,CAN,lentil,0.0,1616520.0,0.0,0.1332325915841792
country-crop system,CAN,maize,5.45,1439140.0,0.2693819044559227,0.11861304026702772
country-crop system,CAN,oat_rye,0.3333333333333333,1363886.2,0.016475957459077838,0.11241066801023071
country-crop system,CAN,potato,9.0,144699.6,0.44485085139510167,0.011926052699127816
country-crop system,CAN,pulses,0.5,1535940.0,0.02471393618861676,0.12659123717479784
country-crop system,CAN,rapeseed_canola,7.033333333333333,8691780.0,0.34764270238654243,0.7163712016427493
